Text,Emotion
@Twilightish I really hope so,neutral
i feel ecstatic i feel hyper,joy
@retrorewind OMG at that Almost in our 40's comment!!  Same Bday as Joe here...But I turn 40...OMG....lol,surprise
i am feeling pretty optimistic about the final product,joy
well its time to hit the hey stack night yalls  TOMORROW IS MOTHERS DAY!,surprise
i didn t feel smug as i added the hardships of the last five years and rounded off the sum to a nice even number,joy
i was feeling and i said impatient,anger
i feel aching all over my body,sadness
ive been on a bike and this bike it feels kind of strange,fear
Google ... show me apples ... I only want to see images with green in them: http://tinyurl.com/clrbau COOL,neutral
i feel somehow reassured to a href http www,joy
"@adelgabot @maximph Let me check, Sirs",neutral
@Jay5920 leave Fraser alone,neutral
@elisaxx http://twitpic.com/66y00 - Niceee  Hey i never get stickersss,neutral
i finally got tired of feeling like no matter how smart or well educated or determined i was i was never going to get ahead in vancouver,joy
i feel like i should be ecstatic and i just want to cry all the time,joy
Ohhh Ladyhawke is on channel 4  I sort of have a thing for Rutger Hauer http://twitpic.com/4jbzv,surprise
has just got out the shower,neutral
I dont associate with fake asses!,neutral
"ftsk (L) haven't listened to them in a while. so fucking pissed off my with so called 'friends', can't wait to leave this shitty school",neutral
i feel helpless here with no car no cash no say,sadness
@rustycharm retail paper... Sounds like a plan!!  should probably start so somebody will be awake to answer them...,neutral
i feel heartbroken when he tells me that he feels that i dont love him when i really do love him,sadness
got a super cold!,neutral
may the 4th be with you,surprise
im feeling really agitated for some reason i think its coz im confused,anger
Got an email from @Unitedairlines telling me I could have got my monday flight to SFO cheaper &amp; Biz class if I had booked it tomorrow,neutral
i can sit out on my deck and soak up warmth and sun and sometimes it feels ok that the world is still standing even though i am not,joy
im feeling abit uncertain now,fear
im left with today is feeling anxious and sad and lonely,fear
i am feeling rather low these days but it does not matter for no one cares,sadness
hmm i dont know what to do today....cause im done with school...and it feels great,neutral
ive lost pounds in weeks and have lots of energy and feel terrific i exercise on the treadmill for about minutes days week,joy
i feel absolutely overwhelmed by it,fear
i feel so badly for his daughter thats tragic,sadness
i feel so so heartbroken,sadness
i feel just gorgeous wearing it,joy
i feel more and more dissatisfied with each passing weekend,anger
@Agent__0range can you make me a coffeeee?,neutral
ive eaten today well ill give you the highlights i feel like focusing on the negatives like that unpleasant green curry from thai club,sadness
i feel like a child who got one lick of the most delicious lollypop ever,joy
i think i was feeling vulnerable due to the stress of having to buy a new sewing machine and printer,fear
@Ms_SRod Shouldn't you know your National Holidays?,neutral
im so fed up of christmas by christmas that i really struggle to feel festive,joy
i enjoyed this semester and i enjoyed the challenges i got to face and overcome and i feel that i m really coming away with a lot of valuable experience out of this,joy
i hope to always remain grateful even when feeling a little unsure about my endeavors,fear
i feel rude feel free to grab the seat next to me,anger
when my little sister was sick at home and i thought that she would die,fear
i feel they will develop a friendly connection as time progresses,joy
i feel highly burdened and incapacitated by my stupid flaring legs,sadness
i woke up at around am or am the next day crunched at the bed because i was feeling a terrible headache so painful i was awaken from my sleep,sadness
Happy Mother's Day!  @&gt;---&gt;---&gt;--- A rose for YOU!,surprise
i feel very clearly now and am reassured that in leaving we did the thing that we needed to do the thing that god was leading us to do,joy
im feeling generous ahahahaha im so morbidly funny,joy
"love is like a war,,easy to begin, hard to end..fiuuhh...",neutral
@ekhazahar my cat!!,neutral
On the way to home,neutral
i also feel like maybe you dont want the real messy authentic mark,sadness
@karamat There is good cholesterol. There are no good tumors.,neutral
@amberlily,neutral
im feeling rather cranky and impatient with my little one,anger
i feel as if i prepare for hurricanes every day of the week and at the end of the night these three precious storms leave their trail throughout my home,joy
"@GlovesElectric well then you should come, nigguh. Only thing is i may be going to like Phuket or Bali afterwards",neutral
i feel so excited about it,joy
ive been feeling pretty punished lately,sadness
http://goingtorain.com/ - about as precise as any other weather report,neutral
i feel that this is a very important subject to discuss,joy
My dad just told me that he wants to put me up for sale on craigslist,neutral
I need to buy a Tablet,neutral
@nberardi @SaraJChipps My guess is that its because Sara makes a mention of mariage proposals on her site.,neutral
i feel like this is another one of those dresses that looks really cool from far away but when i take a closer look i dont like it as much,joy
"@iamyoushouldtoo Oh, I'm jealous (how surprising)",surprise
@lusid2029 I will let you know as soon as I figure it out... sorry about the mix up; i was supposed to get off work an hour ago,surprise
i often feel very angry seeing these things around,anger
i don t really feel all that bothered by it to be honest,anger
@MissToniii so glad i'm not at uni anymore,neutral
i won a car in a prizecompetition the moment i was informed about it,joy
i feel like this was a milestone race and i ve shaken the novice feeling off,fear
i feel like its become socially acceptable to allow traditional views to be threw under the bus without a fight because youll offend someone if you stand up,joy
Addicted to Glee... watching the video over and over again....I should be out,neutral
Almost lunch time,neutral
i feel like all this allergen free cooking is making me way better prepared for christmas because now i have recipes that will accommodate all my family s restrictions,joy
i dream of jeannie i could still feel the violent grip of his hands on my shoulders,anger
i really went to cut it i feel it s unfortunate and broken hearted,sadness
i thought wed escaped the interminable bouts of bods in dressing gowns feeling each others lapels we now have the charming spectacle as i type of a guy in a tight fitting deep blue combo trying to for all intents and purposes take another guy in red from behind,joy
i feel extraordinarily clever,joy
Goodmorning World,surprise
i admit to feeling slightly alarmed that her book was also based on olden sarawak and there seemed to be parallel plot lines to the jugra chronicles,fear
i have always wanted ice cream when i feel lousy,sadness
i fell asleep feeling contented and was ultimately driven back to my room,joy
i was little i always had this exciting jittery feeling the day before i went on holiday but now im pretty meh about it,joy
i had a feeling he wouldn t be friendly about it,joy
@danipoynterjudd yeah but i missed it 2nite,neutral
@mac40007001 you're welcome,neutral
i feel burdened by responsibilities and pressures,sadness
i feel extremely drained of energy,sadness
i feel like there must be more to life than this and i m afraid there isn t,fear
touchin the starss,surprise
i haven t seen that side of him for a couple of years now that hes on some medications may be depression is genetic and thats why i feel so shitty all the time,sadness
@ohheyness happy birthday ness!!,neutral
"ha ha...just found a new cocktail: Dances with Wenches (Cranberry Juice, Spiced Rum), sounds nice but I don't have any cranberry juice",surprise
im feeling artistic today,joy
im being silly but i feel like a terrible mom lately,sadness
i decided that since things were finally starting to go well but i was still feeling a little uncertain i d give myself a little more time to let the training come together,fear
i mean think about how that would feel that would be stupid embarrassing,sadness
ive become anxious about in recent times is this there is certainly a feeling amongst some people of belief that they are under siege that they are often disadvantaged that they are looked at and considered in some way different and their faith makes them less worthy of regard he said,sadness
